price,address,bds,ba,sqft,image
"$650,000","83 Egbert Ave, Staten Island, NY 10310",3,3,"1,440",https://photos.zillowstatic.com/fp/6a6203a912343e48fc0fd5177c4b9e58-p_e.jpg
"$919,000","764 Bergen St APT 3A, Brooklyn, NY 11238",2,1,915,https://photos.zillowstatic.com/fp/f1fcd5699b9264e80aa63f59849b6601-p_e.jpg
"$589,000","219 Lyndale Ave, Staten Island, NY 10312",3,1,900,N/A
"$899,888","1733 150th St, Flushing, NY 11357",3,1,"1,239","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$289,900","268 Bay 17th St APT A1, Brooklyn, NY 11214",1,1,700,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$220,000","112-24 Northern Blvd #2C, Corona, NY 11368",2,1,900,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$650,000","107-40 Queens Blvd #7BC, Forest Hills, NY 11375",3,3,"1,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,398,366","105 Medford Rd, Staten Island, NY 10304",5,3,"2,649","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$660,000","24002 145th Ave, Jamaica, NY 11422",4,3,"1,616","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,349,000","71-12 165th St, Fresh Meadows, NY 11365",5,4,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$990,000","1863 W 10th St, Brooklyn, NY 11223",6,3,"1,690","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$210,000","824 E 9th St APT 6L, Brooklyn, NY 11230",Studio,1,500,N/A
"$489,000","505 E 82nd St APT 6H, New York, NY 10028",Studio,1,400,N/A
"$350,000","50 Fort Pl APT B5H, Staten Island, NY 10301",2,2,"1,100","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$649,000","489 Van Duzer St, Staten Island, NY 10304",5,2,"1,744","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$859,000","2995 Avenue S, Brooklyn, NY 11229",3,3,"1,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$760,000","1572 Rhinelander Ave, Bronx, NY 10461",4,4,"2,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$875,000","6032 Liebig Ave, Bronx, NY 10471",3,2,"1,672","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$386,000","84-29 153rd Ave #4-H, Howard Beach, NY 11414",2,2,"1,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$2,199,000","3101 34th Ave, Long Island City, NY 11106",3,2,"2,800","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$925,000","5930 69th Pl, Flushing, NY 11378",5,3,"2,012","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$325,000","321 E 43rd St APT 203, New York, NY 10017",Studio,1,300,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,750,000","215 Saint Johns Ave, Staten Island, NY 10305",4,4,"3,028","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$669,000","35 Bay St, Bronx, NY 10464",3,1,"1,036","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
